run,best_epoch,best_f1,window_mean,window_sd,best_minus_window,median_step,epochs
source_only,15,94.14,92.47,1.08,1.67,1.29,20
dan,10,95.02,93.84,0.72,1.17,1.02,15
dann,18,35.04,21.56,11.26,13.47,2.53,23
cdan,1,88.75,52.72,39.62,36.02,11.8,6
dan_lambda0.1,8,93.9,92.87,0.81,1.03,1.11,13
dan_lambda10,1,5.07,5.07,0.0,0.0,0.0,6
dann_alpha0.25,1,88.75,34.54,47.23,54.21,4.78,6
dann_alpha0.5,1,44.74,26.23,19.45,18.5,22.02,6
sam,11,95.08,94.49,0.49,0.59,0.81,16
dan_dg,1,5.07,5.07,0.0,0.0,0.0,6
dan_dg_lambda0.1,6,95.26,93.7,1.19,1.55,0.72,11
dan_dg_lambda10,3,5.07,4.49,0.8,0.58,0.0,8
diag_dan_dg_unbiased,5,93.72,92.74,0.73,0.98,1.22,10
