model,sketch_acc,ci95,sketch_macro_f1,dog,elephant,giraffe,guitar,horse,house,person
ERM (T2 source_only),69.59,+-1.44,72.41,53.2,89.3,45.3,83.4,77.5,87.5,70.0
T2 DAN,58.59,+-1.54,55.16,43.5,54.1,61.6,78.6,61.8,100.0,25.0
T2 DANN,26.44,+-1.38,18.91,33.7,18.6,58.2,0.8,22.5,12.5,2.5
T2 CDAN,58.49,+-1.54,58.74,5.8,100.0,34.5,85.9,74.8,87.5,31.9
T2 DAN l=0.1,67.01,+-1.47,63.5,41.5,81.5,46.2,90.5,70.6,100.0,97.5
T2 DAN l=10,4.07,+-0.62,1.12,0.0,0.0,0.0,0.0,0.0,0.0,100.0
T3 SAM,68.08,+-1.46,72.25,61.3,90.7,47.5,89.8,56.5,75.0,66.2
T3 DAN-DG,4.07,+-0.62,1.12,0.0,0.0,0.0,0.0,0.0,0.0,100.0
T3 DAN-DG l=0.1,68.16,+-1.46,71.12,54.3,86.6,70.0,80.3,53.3,90.0,60.0
T3 DAN-DG l=10,4.07,+-0.62,1.12,0.0,0.0,0.0,0.0,0.0,0.0,100.0
DIAG unbiased DAN-DG,67.09,+-1.47,70.67,64.4,80.7,72.1,73.7,46.9,95.0,57.5
