family,comparison,question,delta_acc_pts,ci95_low,ci95_high,only_baseline_right,only_method_right,mcnemar_p,p_holm,verdict
main/study,T2 DAN  vs  ERM (T2 source_only),T2 main table,-11.0,-12.79,-9.2,886,454,1.526268503822458e-32,1.0683879526757207e-31,real (beyond test-set noise)
main/study,T2 DANN  vs  ERM (T2 source_only),T2 main table,-43.14,-45.15,-41.13,2027,332,7.530796107064645e-296,7.530796107064645e-295,real (beyond test-set noise)
main/study,T2 CDAN  vs  ERM (T2 source_only),T2 main table,-11.1,-12.63,-9.56,717,281,1.495031039485907e-44,1.1960248315887257e-43,real (beyond test-set noise)
main/study,T2 CDAN  vs  T2 DANN,T2 RQ3: conditional vs marginal adversarial,32.04,29.86,34.23,534,1793,4.072506210987048e-158,3.665255589888344e-157,real (beyond test-set noise)
main/study,T2 DAN l=0.1  vs  ERM (T2 source_only),T2 study,-2.57,-4.02,-1.12,473,372,0.0005736023022144165,0.0028680115110720824,real (beyond test-set noise)
main/study,T2 DAN  vs  T2 DAN l=0.1,T2 study: lambda 0.1 -> 1,-8.42,-10.01,-6.84,684,353,4.812943476981615e-25,2.8877660861889693e-24,real (beyond test-set noise)
main/study,T3 SAM  vs  ERM (T2 source_only),T3 main table,-1.5,-2.86,-0.14,400,341,0.033045254299107304,0.13218101719642922,NOT distinguishable from noise
main/study,T3 DAN-DG  vs  ERM (T2 source_only),T3 main table,-65.51,-67.08,-63.95,2622,48,0.0,0.0,real (beyond test-set noise)
main/study,T3 DAN-DG l=0.1  vs  ERM (T2 source_only),T3 study,-1.43,-2.91,0.06,474,418,0.06548276062718925,0.19644828188156774,NOT distinguishable from noise
main/study,T3 DAN-DG l=0.1  vs  T3 SAM,T3: SAM vs the working DAN-DG,0.08,-1.3,1.45,379,382,0.9422103470377875,0.9422103470377875,NOT distinguishable from noise
main/study,T2 DAN l=0.1  vs  T3 DAN-DG l=0.1,RQ4 at lambda 0.1: does seeing Sketch help?,-1.15,-2.69,0.4,503,458,0.1557592242249808,0.3115184484499616,NOT distinguishable from noise
main/study,T2 DAN  vs  T3 DAN-DG,RQ4 at lambda 1 (DAN-DG collapsed),54.52,52.78,56.26,120,2262,0.0,0.0,real (beyond test-set noise)
DIAGNOSTIC,DIAG unbiased DAN-DG  vs  ERM (T2 source_only),does non-collapsed source alignment beat ERM?,-2.49,-4.13,-0.86,588,490,0.003115329904438365,0.009345989713315095,real (beyond test-set noise)
DIAGNOSTIC,DIAG unbiased DAN-DG  vs  T3 DAN-DG,Sketch cost of the collapse at lambda = 1,63.02,61.4,64.64,68,2544,0.0,0.0,real (beyond test-set noise)
DIAGNOSTIC,DIAG unbiased DAN-DG  vs  T3 DAN-DG l=0.1,more source invariance (sep 79 -> 71): better Sketch?,-1.07,-2.43,0.29,393,351,0.13275011783965868,0.26550023567931735,NOT distinguishable from noise
DIAGNOSTIC,DIAG unbiased DAN-DG  vs  T3 SAM,invariance vs flatness,-0.99,-2.53,0.55,495,456,0.21784066423477796,0.26550023567931735,NOT distinguishable from noise
