resnet50,vit_b16,clip_b32,clip_zs,id,shape,texture
other,shape,other,other,0,cat,car
other,other,shape,other,2,cat,car
shape,shape,shape,shape,3,cat,car
shape,shape,shape,shape,4,cat,car
other,texture,other,other,5,cat,car
texture,other,other,texture,6,cat,car
other,other,other,other,7,cat,car
other,other,other,other,8,cat,car
other,texture,other,other,9,cat,car
other,other,other,other,10,cat,car
shape,shape,shape,shape,11,cat,car
other,other,other,other,12,cat,car
other,other,shape,other,13,cat,car
other,texture,other,other,14,cat,car
other,other,shape,other,15,cat,car
other,other,other,other,16,cat,car
shape,shape,shape,shape,17,cat,car
other,shape,shape,shape,18,cat,car
other,other,other,other,19,cat,car
other,texture,other,other,20,cat,car
shape,shape,shape,shape,21,cat,car
shape,shape,shape,shape,22,cat,car
other,other,other,shape,24,car,cat
shape,shape,shape,shape,25,car,cat
other,shape,shape,shape,26,car,cat
other,shape,shape,shape,28,car,cat
other,other,shape,shape,29,car,cat
other,shape,other,shape,30,car,cat
other,shape,shape,shape,31,car,cat
other,texture,other,other,32,car,cat
other,other,texture,texture,33,car,cat
other,other,other,other,34,car,cat
other,other,shape,shape,35,car,cat
other,other,texture,other,36,car,cat
other,shape,shape,shape,37,car,cat
shape,shape,shape,shape,38,car,cat
other,shape,shape,shape,39,car,cat
texture,shape,shape,shape,40,car,cat
texture,shape,shape,shape,41,car,cat
other,shape,shape,shape,42,car,cat
other,shape,shape,shape,43,car,cat
shape,shape,shape,shape,44,car,cat
other,shape,other,shape,45,car,cat
other,other,other,shape,46,car,cat
shape,other,other,other,48,dog,truck
other,other,other,other,49,dog,truck
shape,shape,shape,shape,50,dog,truck
other,other,other,other,51,dog,truck
texture,other,texture,texture,52,dog,truck
other,shape,shape,shape,53,dog,truck
other,other,texture,other,54,dog,truck
other,other,other,other,56,dog,truck
other,texture,other,shape,57,dog,truck
other,other,texture,other,58,dog,truck
shape,shape,shape,shape,59,dog,truck
other,other,texture,other,60,dog,truck
texture,other,other,other,61,dog,truck
texture,other,other,shape,62,dog,truck
texture,other,shape,shape,63,dog,truck
other,other,shape,shape,64,dog,truck
other,texture,other,other,65,dog,truck
shape,shape,shape,shape,66,dog,truck
shape,other,other,other,67,dog,truck
other,other,other,other,69,dog,truck
other,other,texture,other,70,dog,truck
other,other,other,other,71,dog,truck
other,shape,shape,shape,72,truck,dog
other,shape,other,shape,73,truck,dog
other,other,other,other,74,truck,dog
other,other,shape,shape,75,truck,dog
other,other,shape,shape,76,truck,dog
shape,shape,shape,shape,77,truck,dog
shape,shape,shape,shape,78,truck,dog
other,shape,shape,shape,79,truck,dog
other,other,shape,shape,80,truck,dog
other,other,other,other,81,truck,dog
other,other,other,other,82,truck,dog
other,other,shape,other,83,truck,dog
other,other,other,other,84,truck,dog
shape,other,shape,other,85,truck,dog
other,other,shape,other,86,truck,dog
other,shape,shape,other,87,truck,dog
other,shape,shape,shape,88,truck,dog
other,other,other,other,89,truck,dog
other,other,other,other,90,truck,dog
other,shape,other,other,91,truck,dog
shape,shape,shape,shape,92,truck,dog
other,other,other,other,93,truck,dog
texture,other,other,texture,96,horse,ship
shape,shape,shape,shape,97,horse,ship
texture,other,other,other,98,horse,ship
texture,other,other,other,99,horse,ship
texture,other,other,other,100,horse,ship
texture,shape,shape,shape,101,horse,ship
shape,shape,shape,shape,102,horse,ship
texture,other,other,texture,103,horse,ship
texture,other,other,other,104,horse,ship
other,other,shape,shape,105,horse,ship
texture,other,other,other,106,horse,ship
texture,other,shape,shape,107,horse,ship
other,other,other,other,108,horse,ship
texture,shape,shape,shape,109,horse,ship
texture,other,other,other,111,horse,ship
texture,other,other,other,112,horse,ship
texture,other,other,other,113,horse,ship
shape,other,shape,shape,114,horse,ship
texture,other,other,texture,115,horse,ship
texture,other,other,other,116,horse,ship
other,texture,shape,shape,117,horse,ship
texture,other,other,other,118,horse,ship
shape,shape,shape,shape,120,ship,horse
other,other,texture,other,121,ship,horse
other,other,texture,texture,122,ship,horse
other,shape,shape,shape,123,ship,horse
other,shape,shape,shape,124,ship,horse
texture,other,shape,shape,125,ship,horse
other,shape,other,shape,126,ship,horse
other,shape,other,shape,127,ship,horse
other,other,other,shape,128,ship,horse
other,texture,other,shape,129,ship,horse
other,shape,other,other,130,ship,horse
shape,shape,shape,shape,131,ship,horse
other,other,other,other,132,ship,horse
other,shape,other,shape,133,ship,horse
shape,shape,other,shape,134,ship,horse
shape,shape,shape,shape,135,ship,horse
other,shape,shape,shape,136,ship,horse
shape,shape,texture,shape,137,ship,horse
other,shape,other,shape,138,ship,horse
shape,shape,other,shape,139,ship,horse
other,other,shape,shape,140,ship,horse
other,other,other,shape,141,ship,horse
other,shape,shape,shape,144,deer,airplane
shape,shape,shape,shape,145,deer,airplane
other,other,other,other,146,deer,airplane
shape,shape,shape,shape,147,deer,airplane
