model,condition,acc,delta_acc,macro_f1,mean_max_conf,consistency
ResNet-50,clean,96.6,0.0,96.60158246316828,88.95362854003906,100.0
ResNet-50,grayscale,94.39999999999999,-2.200000000000003,94.41962186404864,89.72809600830078,95.8
ResNet-50,color_extra,93.60000000000001,-2.999999999999986,93.60639114307683,89.61270141601562,95.19999999999999
ResNet-50,shuffle,86.4,-10.199999999999989,86.4759112555439,86.52580261230469,88.8
ResNet-50,trans_right_8,96.0,-0.5999999999999943,96.00077014148394,88.84415435791016,98.8
ResNet-50,trans_left_8,95.8,-0.7999999999999972,95.78674066435771,88.84412384033203,98.6
ResNet-50,trans_down_8,95.8,-0.7999999999999972,95.81499321229508,88.74188232421875,98.6
ResNet-50,trans_up_8,96.39999999999999,-0.20000000000000284,96.39499188443122,88.8580093383789,98.8
ResNet-50,trans_right_16,95.8,-0.7999999999999972,95.80445208386385,88.50962829589844,98.8
ResNet-50,trans_left_16,95.8,-0.7999999999999972,95.78760091794564,88.6983413696289,98.4
ResNet-50,trans_down_16,96.0,-0.5999999999999943,96.00821955312107,88.46818542480469,99.0
ResNet-50,trans_up_16,96.8,0.20000000000000284,96.80893470715152,88.70458984375,99.0
ResNet-50,trans_right_32,95.19999999999999,-1.4000000000000057,95.20631935692083,87.771728515625,97.6
ResNet-50,trans_left_32,94.8,-1.7999999999999972,94.81614656186294,88.38013458251953,97.39999999999999
ResNet-50,trans_down_32,96.0,-0.5999999999999943,96.03009500025858,87.86968231201172,98.8
ResNet-50,trans_up_32,95.8,-0.7999999999999972,95.81103896704197,88.16498565673828,98.2
ViT-B/16,clean,96.8,0.0,96.808644756002,97.0594711303711,100.0
ViT-B/16,grayscale,94.39999999999999,-2.4000000000000057,94.415694290173,95.919189453125,97.39999999999999
ViT-B/16,color_extra,93.2,-3.5999999999999943,93.23689091541023,94.23699188232422,95.8
ViT-B/16,shuffle,90.8,-6.0,90.90278783517671,90.26520538330078,92.80000000000001
ViT-B/16,trans_right_8,96.6,-0.20000000000000284,96.6217750358568,96.61782836914062,98.6
ViT-B/16,trans_left_8,96.0,-0.7999999999999972,96.0301362146861,96.56531524658203,98.0
ViT-B/16,trans_down_8,97.0,0.20000000000000284,97.01167506437585,96.86006927490234,98.2
ViT-B/16,trans_up_8,97.2,0.4000000000000057,97.21320039988179,97.0002212524414,98.6
ViT-B/16,trans_right_16,96.6,-0.20000000000000284,96.60866593459045,96.91819763183594,99.0
ViT-B/16,trans_left_16,96.39999999999999,-0.4000000000000057,96.41138099404178,96.79915618896484,98.8
ViT-B/16,trans_down_16,97.0,0.20000000000000284,97.0067434831115,96.87847900390625,99.2
ViT-B/16,trans_up_16,96.8,0.0,96.80935535518316,96.68035125732422,99.2
ViT-B/16,trans_right_32,96.39999999999999,-0.4000000000000057,96.42195950807469,96.74030303955078,99.0
ViT-B/16,trans_left_32,95.8,-1.0,95.8019225323446,96.4712905883789,98.4
ViT-B/16,trans_down_32,96.6,-0.20000000000000284,96.61616369158385,96.33606719970703,98.6
ViT-B/16,trans_up_32,96.6,-0.20000000000000284,96.6151805979016,96.18041229248047,99.0
CLIP head,clean,97.39999999999999,0.0,97.41134871219082,28.693002700805664,100.0
CLIP head,grayscale,94.0,-3.3999999999999915,93.9841150194322,26.49846649169922,93.60000000000001
CLIP head,color_extra,92.80000000000001,-4.59999999999998,92.73820266845134,26.055150985717773,93.60000000000001
CLIP head,shuffle,85.8,-11.599999999999994,85.65332603196272,20.695951461791992,86.2
CLIP head,trans_right_8,95.6,-1.7999999999999972,95.56349971898712,28.555416107177734,97.0
CLIP head,trans_left_8,96.2,-1.1999999999999886,96.18940992184945,28.553804397583008,97.39999999999999
CLIP head,trans_down_8,97.2,-0.19999999999998863,97.2021999672485,28.57099723815918,99.0
CLIP head,trans_up_8,96.6,-0.7999999999999972,96.59397651303593,28.54168128967285,97.39999999999999
CLIP head,trans_right_16,96.2,-1.1999999999999886,96.18140544587115,28.104663848876953,97.39999999999999
CLIP head,trans_left_16,96.2,-1.1999999999999886,96.18161813802317,28.10550308227539,97.2
CLIP head,trans_down_16,96.2,-1.1999999999999886,96.21408798154316,28.272645950317383,98.2
CLIP head,trans_up_16,96.39999999999999,-1.0,96.37752274993467,28.286903381347656,97.2
CLIP head,trans_right_32,96.0,-1.3999999999999915,95.964586301212,27.681394577026367,97.0
CLIP head,trans_left_32,96.0,-1.3999999999999915,95.98313454786464,27.70216178894043,97.2
CLIP head,trans_down_32,96.8,-0.5999999999999943,96.81633575888308,27.577579498291016,98.4
CLIP head,trans_up_32,94.39999999999999,-3.0,94.36737009649946,27.63785743713379,96.0
CLIP zero-shot,clean,96.39999999999999,0.0,96.40808934290526,93.5545425415039,100.0
