model,condition,acc,delta_acc,macro_f1,mean_max_conf,consistency
ResNet-50,clean,96.6,0.0,96.60158246316828,88.95362854003906,100.0
ResNet-50,grayscale,94.39999999999999,-2.200000000000003,94.41962186404864,89.72809600830078,95.8
ResNet-50,color_extra,93.60000000000001,-2.999999999999986,93.60639114307683,89.61270141601562,95.19999999999999
ResNet-50,shuffle,86.4,-10.199999999999989,86.4759112555439,86.52580261230469,88.8
ViT-B/16,clean,96.8,0.0,96.808644756002,97.0594711303711,100.0
ViT-B/16,grayscale,94.39999999999999,-2.4000000000000057,94.415694290173,95.919189453125,97.39999999999999
ViT-B/16,color_extra,93.2,-3.5999999999999943,93.23689091541023,94.23699188232422,95.8
ViT-B/16,shuffle,90.8,-6.0,90.90278783517671,90.26520538330078,92.80000000000001
CLIP head,clean,97.39999999999999,0.0,97.41134871219082,28.693002700805664,100.0
CLIP head,grayscale,94.0,-3.3999999999999915,93.9841150194322,26.49846649169922,93.60000000000001
CLIP head,color_extra,92.80000000000001,-4.59999999999998,92.73820266845134,26.055150985717773,93.60000000000001
CLIP head,shuffle,85.8,-11.599999999999994,85.65332603196272,20.695951461791992,86.2
CLIP zero-shot,clean,96.39999999999999,0.0,96.40808934290526,93.5545425415039,100.0
CLIP zero-shot,grayscale,93.2,-3.1999999999999886,93.17431596407916,92.81888580322266,93.8
CLIP zero-shot,color_extra,92.0,-4.3999999999999915,91.95398773273669,92.11861419677734,93.2
CLIP zero-shot,shuffle,82.6,-13.799999999999997,82.42255768712423,82.01139831542969,83.6
