backbone,intervention,mean,std,n,random_pair_baseline,cos_pred_unchanged,cos_pred_changed,n_unchanged,n_changed
ResNet-50,grayscale,0.7826108336448669,0.09962275624275208,500,0.22643215954303741,0.7857722043991089,0.7105017900466919,479,21
ResNet-50,color_extra,0.806165337562561,0.10041860491037369,500,0.22643215954303741,0.8088569045066833,0.752781867980957,476,24
ResNet-50,shuffle,0.7097694873809814,0.07487404346466064,500,0.22643215954303741,0.7114968299865723,0.6960729956626892,444,56
ResNet-50,translation_8,0.9668843746185303,0.018137579783797264,2000,0.22643215954303741,0.9670363068580627,0.9553482532501221,1974,26
ResNet-50,translation_16,0.951422929763794,0.027856716886162758,2000,0.22643215954303741,0.9515987634658813,0.9369397759437561,1976,24
ResNet-50,translation_32,0.931338369846344,0.04082195833325386,2000,0.22643215954303741,0.9316931366920471,0.9139586687088013,1960,40
ResNet-50,cue_conflict,0.25894930958747864,0.1509513258934021,220,0.22643215954303741,0.42484012246131897,0.20093843340873718,57,163
ViT-B/16,grayscale,0.7377908825874329,0.12533140182495117,500,0.10404694080352783,0.7411994338035583,0.6101041436195374,487,13
ViT-B/16,color_extra,0.688062846660614,0.15817791223526,500,0.10404694080352783,0.6956837177276611,0.5142331719398499,479,21
ViT-B/16,shuffle,0.6638044118881226,0.11533144116401672,500,0.10404694080352783,0.6709150671958923,0.5721550583839417,464,36
ViT-B/16,translation_8,0.9479393362998962,0.029716026037931442,2000,0.10404694080352783,0.9483759999275208,0.9219099283218384,1967,33
ViT-B/16,translation_16,0.9739000201225281,0.026479572057724,2000,0.10404694080352783,0.974307119846344,0.9314519166946411,1981,19
ViT-B/16,translation_32,0.9423483610153198,0.04575454071164131,2000,0.10404694080352783,0.9430766701698303,0.8848153948783875,1975,25
ViT-B/16,cue_conflict,0.24295613169670105,0.20002973079681396,220,0.10404694080352783,0.3811527490615845,0.12779228389263153,100,120
CLIP head,grayscale,0.8976494073867798,0.040337517857551575,500,0.6123979091644287,0.9009765386581421,0.8489902019500732,468,32
CLIP head,color_extra,0.8956181406974792,0.05277698114514351,500,0.6123979091644287,0.8992705345153809,0.8422020673751831,468,32
CLIP head,shuffle,0.7267237305641174,0.05987967550754547,500,0.6123979091644287,0.7313478589057922,0.6978397965431213,431,69
CLIP head,translation_8,0.9802857041358948,0.010842029005289078,2000,0.6123979091644287,0.9804737567901611,0.9723000526428223,1954,46
CLIP head,translation_16,0.9674253463745117,0.01718372479081154,2000,0.6123979091644287,0.9677386283874512,0.9552074670791626,1950,50
CLIP head,translation_32,0.9697314500808716,0.02002227120101452,2000,0.6123979091644287,0.9701789617538452,0.9544745087623596,1943,57
CLIP head,cue_conflict,0.6546840071678162,0.09850554913282394,220,0.6123979091644287,0.7087627053260803,0.6061997413635254,104,116
