n_shape,n_texture,n_other,n_total,shape_bias,coverage,model,pair,direction
20,1,1,22,95.23809523809524,95.45454545454545,ResNet-50,bird-monkey,bird->monkey
4,17,1,22,19.047619047619047,95.45454545454545,ResNet-50,bird-monkey,monkey->bird
3,2,17,22,60.0,22.727272727272727,ResNet-50,cat-car,car->cat
6,1,15,22,85.71428571428571,31.818181818181817,ResNet-50,cat-car,cat->car
1,11,10,22,8.333333333333334,54.54545454545455,ResNet-50,deer-airplane,airplane->deer
3,3,16,22,50.0,27.272727272727273,ResNet-50,deer-airplane,deer->airplane
5,4,13,22,55.55555555555556,40.90909090909091,ResNet-50,dog-truck,dog->truck
4,0,18,22,100.0,18.181818181818183,ResNet-50,dog-truck,truck->dog
3,16,3,22,15.789473684210526,86.36363636363636,ResNet-50,horse-ship,horse->ship
6,1,15,22,85.71428571428571,31.818181818181817,ResNet-50,horse-ship,ship->horse
19,2,1,22,90.47619047619048,95.45454545454545,ViT-B/16,bird-monkey,bird->monkey
11,8,3,22,57.89473684210526,86.36363636363636,ViT-B/16,bird-monkey,monkey->bird
14,1,7,22,93.33333333333333,68.18181818181819,ViT-B/16,cat-car,car->cat
8,4,10,22,66.66666666666667,54.54545454545455,ViT-B/16,cat-car,cat->car
11,3,8,22,78.57142857142857,63.63636363636363,ViT-B/16,deer-airplane,airplane->deer
6,8,8,22,42.857142857142854,63.63636363636363,ViT-B/16,deer-airplane,deer->airplane
4,2,16,22,66.66666666666667,27.272727272727273,ViT-B/16,dog-truck,dog->truck
9,0,13,22,100.0,40.90909090909091,ViT-B/16,dog-truck,truck->dog
4,1,17,22,80.0,22.727272727272727,ViT-B/16,horse-ship,horse->ship
14,1,7,22,93.33333333333333,68.18181818181819,ViT-B/16,horse-ship,ship->horse
21,1,0,22,95.45454545454545,100.0,CLIP head,bird-monkey,bird->monkey
9,11,2,22,45.0,90.9090909090909,CLIP head,bird-monkey,monkey->bird
14,2,6,22,87.5,72.72727272727273,CLIP head,cat-car,car->cat
10,0,12,22,100.0,45.45454545454545,CLIP head,cat-car,cat->car
10,2,10,22,83.33333333333333,54.54545454545455,CLIP head,deer-airplane,airplane->deer
7,2,13,22,77.77777777777777,40.90909090909091,CLIP head,deer-airplane,deer->airplane
6,5,11,22,54.54545454545455,50.0,CLIP head,dog-truck,dog->truck
13,0,9,22,100.0,59.09090909090909,CLIP head,dog-truck,truck->dog
8,0,14,22,100.0,36.36363636363637,CLIP head,horse-ship,horse->ship
8,3,11,22,72.72727272727273,50.0,CLIP head,horse-ship,ship->horse
21,0,1,22,100.0,95.45454545454545,CLIP zero-shot,bird-monkey,bird->monkey
11,9,2,22,55.0,90.9090909090909,CLIP zero-shot,bird-monkey,monkey->bird
18,1,3,22,94.73684210526316,86.36363636363636,CLIP zero-shot,cat-car,car->cat
7,1,14,22,87.5,36.36363636363637,CLIP zero-shot,cat-car,cat->car
6,4,12,22,60.0,45.45454545454545,CLIP zero-shot,deer-airplane,airplane->deer
10,0,12,22,100.0,45.45454545454545,CLIP zero-shot,deer-airplane,deer->airplane
8,1,13,22,88.88888888888889,40.90909090909091,CLIP zero-shot,dog-truck,dog->truck
10,0,12,22,100.0,45.45454545454545,CLIP zero-shot,dog-truck,truck->dog
8,3,11,22,72.72727272727273,50.0,CLIP zero-shot,horse-ship,horse->ship
18,1,3,22,94.73684210526316,86.36363636363636,CLIP zero-shot,horse-ship,ship->horse
