model,score,class,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
vanilla,MSP,bus,1,13,0,0,0,0,0,1,1,70
vanilla,MSP,pickup_truck,0,59,0,0,0,0,0,0,0,27
vanilla,MSP,motorcycle,8,29,0,1,1,0,2,0,0,12
vanilla,MSP,tractor,4,5,1,0,1,0,0,0,8,48
vanilla,MSP,wolf,0,0,1,48,4,32,0,2,0,0
vanilla,MSP,fox,1,0,2,29,28,11,1,4,0,0
vanilla,MSP,leopard,0,0,2,32,12,3,26,0,0,0
vanilla,MSP,camel,4,0,5,3,17,20,0,16,0,0
vanilla,MSP,bottle,1,1,6,16,0,2,0,0,19,11
vanilla,MSP,bowl,4,10,4,15,0,3,10,0,9,1
vanilla,MSP,chair,34,1,8,5,1,3,0,2,1,7
vanilla,MSP,clock,5,12,4,12,1,1,1,0,8,8
vanilla,MSP,keyboard,14,3,3,9,1,1,2,0,3,11
vanilla,MSP,mushroom,2,0,31,8,7,2,10,1,0,1
vanilla,MSP,sunflower,4,0,31,9,0,6,4,0,0,2
vanilla,MSP,wardrobe,0,0,1,23,0,0,0,0,1,46
vanilla,MLS,bus,1,13,0,0,0,0,0,1,1,69
vanilla,MLS,pickup_truck,0,61,0,0,0,0,0,0,0,29
vanilla,MLS,motorcycle,6,21,1,0,0,0,2,0,0,10
vanilla,MLS,tractor,4,5,1,0,0,0,0,0,7,43
vanilla,MLS,wolf,0,0,1,43,4,32,0,1,0,0
vanilla,MLS,fox,1,0,1,31,30,11,0,3,0,0
vanilla,MLS,leopard,0,0,3,26,12,2,25,0,0,0
vanilla,MLS,camel,3,0,6,2,18,15,0,15,0,0
vanilla,MLS,bottle,1,1,2,14,0,2,0,0,14,7
vanilla,MLS,bowl,4,7,2,14,0,1,7,0,7,1
vanilla,MLS,chair,24,0,6,4,1,2,0,1,1,5
vanilla,MLS,clock,2,9,2,8,0,0,1,0,4,7
vanilla,MLS,keyboard,11,3,0,7,0,1,2,1,2,8
vanilla,MLS,mushroom,1,0,26,10,4,2,10,1,0,1
vanilla,MLS,sunflower,3,0,25,5,0,5,5,0,0,2
vanilla,MLS,wardrobe,0,0,1,19,0,0,0,0,1,44
vanilla,Energy,bus,1,13,0,0,0,0,0,1,1,70
vanilla,Energy,pickup_truck,0,61,0,0,0,0,0,0,0,29
vanilla,Energy,motorcycle,6,20,1,0,0,0,2,0,0,9
vanilla,Energy,tractor,4,5,1,0,0,0,0,0,5,43
vanilla,Energy,wolf,0,0,1,43,4,32,0,2,0,0
vanilla,Energy,fox,1,0,1,31,30,11,0,3,0,0
vanilla,Energy,leopard,0,0,3,26,12,2,26,0,0,0
vanilla,Energy,camel,3,0,6,2,17,16,0,15,0,0
vanilla,Energy,bottle,1,1,2,15,0,2,0,0,12,7
vanilla,Energy,bowl,4,7,1,14,0,1,8,0,5,1
vanilla,Energy,chair,24,0,5,4,1,2,0,0,1,5
vanilla,Energy,clock,2,9,2,8,0,0,1,0,4,7
vanilla,Energy,keyboard,10,3,0,7,0,1,1,1,2,8
vanilla,Energy,mushroom,1,0,26,10,4,2,10,1,0,0
vanilla,Energy,sunflower,3,0,24,5,0,5,6,0,0,2
vanilla,Energy,wardrobe,0,0,1,19,0,0,0,0,1,46
vanilla,Mahalanobis,bus,1,13,0,0,0,0,0,1,1,70
vanilla,Mahalanobis,pickup_truck,0,60,0,0,0,0,0,0,0,27
