model,score,group,class,accepted_%,top_absorber,top_absorber_share_%,argmax_all_images
vanilla,MSP,near,bus,86.00,truck,81.40,truck
vanilla,MSP,near,pickup_truck,86.00,automobile,68.60,automobile
vanilla,MSP,near,motorcycle,53.00,automobile,54.72,automobile
vanilla,MSP,near,tractor,67.00,truck,71.64,truck
vanilla,MSP,near,wolf,87.00,cat,55.17,cat
vanilla,MSP,near,fox,76.00,cat,38.16,cat
vanilla,MSP,near,leopard,75.00,cat,42.67,cat
vanilla,MSP,near,camel,65.00,dog,30.77,horse
vanilla,MSP,far,bottle,56.00,ship,33.93,cat
vanilla,MSP,far,bowl,56.00,cat,26.79,cat
vanilla,MSP,far,chair,62.00,airplane,54.84,airplane
vanilla,MSP,far,clock,52.00,automobile,23.08,cat
vanilla,MSP,far,keyboard,47.00,airplane,29.79,airplane
vanilla,MSP,far,mushroom,62.00,bird,50.00,bird
vanilla,MSP,far,sunflower,56.00,bird,55.36,bird
vanilla,MSP,far,wardrobe,71.00,truck,64.79,truck
vanilla,MLS,near,bus,85.00,truck,81.18,truck
vanilla,MLS,near,pickup_truck,90.00,automobile,67.78,automobile
vanilla,MLS,near,motorcycle,40.00,automobile,52.50,automobile
vanilla,MLS,near,tractor,60.00,truck,71.67,truck
vanilla,MLS,near,wolf,81.00,cat,53.09,cat
vanilla,MLS,near,fox,77.00,cat,40.26,cat
vanilla,MLS,near,leopard,68.00,cat,38.24,cat
vanilla,MLS,near,camel,59.00,deer,30.51,horse
vanilla,MLS,far,bottle,41.00,cat,34.15,cat
vanilla,MLS,far,bowl,43.00,cat,32.56,cat
vanilla,MLS,far,chair,44.00,airplane,54.55,airplane
vanilla,MLS,far,clock,33.00,automobile,27.27,cat
vanilla,MLS,far,keyboard,35.00,airplane,31.43,airplane
vanilla,MLS,far,mushroom,55.00,bird,47.27,bird
vanilla,MLS,far,sunflower,45.00,bird,55.56,bird
vanilla,MLS,far,wardrobe,65.00,truck,67.69,truck
vanilla,Energy,near,bus,86.00,truck,81.40,truck
vanilla,Energy,near,pickup_truck,90.00,automobile,67.78,automobile
vanilla,Energy,near,motorcycle,38.00,automobile,52.63,automobile
vanilla,Energy,near,tractor,58.00,truck,74.14,truck
vanilla,Energy,near,wolf,82.00,cat,52.44,cat
vanilla,Energy,near,fox,77.00,cat,40.26,cat
vanilla,Energy,near,leopard,69.00,cat,37.68,cat
vanilla,Energy,near,camel,59.00,deer,28.81,horse
vanilla,Energy,far,bottle,40.00,cat,37.50,cat
vanilla,Energy,far,bowl,41.00,cat,34.15,cat
vanilla,Energy,far,chair,42.00,airplane,57.14,airplane
vanilla,Energy,far,clock,33.00,automobile,27.27,cat
vanilla,Energy,far,keyboard,33.00,airplane,30.30,airplane
vanilla,Energy,far,mushroom,54.00,bird,48.15,bird
vanilla,Energy,far,sunflower,45.00,bird,53.33,bird
vanilla,Energy,far,wardrobe,67.00,truck,68.66,truck
vanilla,Mahalanobis,near,bus,86.00,truck,81.40,truck
vanilla,Mahalanobis,near,pickup_truck,87.00,automobile,68.97,automobile
vanilla,Mahalanobis,near,motorcycle,45.00,automobile,57.78,automobile
vanilla,Mahalanobis,near,tractor,66.00,truck,72.73,truck
vanilla,Mahalanobis,near,wolf,90.00,cat,54.44,cat
vanilla,Mahalanobis,near,fox,75.00,cat,38.67,cat
vanilla,Mahalanobis,near,leopard,76.00,cat,42.11,cat
vanilla,Mahalanobis,near,camel,63.00,dog,33.33,horse
vanilla,Mahalanobis,far,bottle,45.00,cat,35.56,cat
vanilla,Mahalanobis,far,bowl,47.00,cat,25.53,cat
vanilla,Mahalanobis,far,chair,52.00,airplane,57.69,airplane
vanilla,Mahalanobis,far,clock,39.00,automobile,25.64,cat
vanilla,Mahalanobis,far,keyboard,42.00,airplane,33.33,airplane
vanilla,Mahalanobis,far,mushroom,62.00,bird,45.16,bird
vanilla,Mahalanobis,far,sunflower,49.00,bird,51.02,bird
vanilla,Mahalanobis,far,wardrobe,57.00,truck,66.67,truck
gcsc,MLS,near,bus,89.00,truck,77.53,truck
gcsc,MLS,near,pickup_truck,91.00,automobile,67.03,automobile
gcsc,MLS,near,motorcycle,26.00,automobile,42.31,automobile
gcsc,MLS,near,tractor,59.00,truck,86.44,truck
gcsc,MLS,near,wolf,79.00,dog,46.84,cat
gcsc,MLS,near,fox,69.00,cat,49.28,cat
gcsc,MLS,near,leopard,58.00,cat,46.55,cat
gcsc,MLS,near,camel,50.00,deer,32.00,deer
gcsc,MLS,far,bottle,40.00,ship,40.00,ship
gcsc,MLS,far,bowl,41.00,cat,36.59,cat
gcsc,MLS,far,chair,41.00,airplane,41.46,airplane
gcsc,MLS,far,clock,49.00,cat,24.49,cat
gcsc,MLS,far,keyboard,43.00,truck,44.19,truck
gcsc,MLS,far,mushroom,50.00,bird,48.00,bird
gcsc,MLS,far,sunflower,35.00,bird,34.29,dog
gcsc,MLS,far,wardrobe,58.00,truck,75.86,truck
proser,MLS,near,bus,86.00,truck,79.07,truck
proser,MLS,near,pickup_truck,93.00,automobile,61.29,automobile
proser,MLS,near,motorcycle,61.00,automobile,49.18,automobile
proser,MLS,near,tractor,65.00,truck,73.85,truck
proser,MLS,near,wolf,80.00,cat,53.75,cat
proser,MLS,near,fox,77.00,cat,44.16,cat
proser,MLS,near,leopard,73.00,cat,50.68,cat
proser,MLS,near,camel,63.00,deer,26.98,dog
proser,MLS,far,bottle,49.00,cat,36.73,cat
proser,MLS,far,bowl,51.00,cat,29.41,cat
proser,MLS,far,chair,52.00,airplane,55.77,airplane
proser,MLS,far,clock,44.00,automobile,29.55,automobile
proser,MLS,far,keyboard,42.00,truck,35.71,truck
proser,MLS,far,mushroom,62.00,bird,40.32,bird
proser,MLS,far,sunflower,50.00,bird,52.00,bird
proser,MLS,far,wardrobe,67.00,truck,68.66,truck
proser,PROSER-detect,near,bus,84.00,truck,80.95,truck
proser,PROSER-detect,near,pickup_truck,86.00,automobile,63.95,automobile
proser,PROSER-detect,near,motorcycle,63.00,automobile,49.21,automobile
proser,PROSER-detect,near,tractor,71.00,truck,76.06,truck
proser,PROSER-detect,near,wolf,86.00,cat,56.98,cat
proser,PROSER-detect,near,fox,72.00,cat,45.83,cat
proser,PROSER-detect,near,leopard,72.00,cat,52.78,cat
proser,PROSER-detect,near,camel,69.00,deer,26.09,dog
proser,PROSER-detect,far,bottle,53.00,cat,37.74,cat
proser,PROSER-detect,far,bowl,62.00,cat,29.03,cat
proser,PROSER-detect,far,chair,58.00,airplane,60.34,airplane
proser,PROSER-detect,far,clock,49.00,cat,28.57,automobile
proser,PROSER-detect,far,keyboard,41.00,truck,31.71,truck
proser,PROSER-detect,far,mushroom,60.00,bird,43.33,bird
proser,PROSER-detect,far,sunflower,50.00,bird,52.00,bird
proser,PROSER-detect,far,wardrobe,77.00,truck,58.44,truck
