model,score,CSA,tau,val_accept,AUROC_near,AUROC_far,AUROC_all,test_accept,test_accept_CI,reject_near,reject_near_CI,reject_far,reject_far_CI,reject_all,reject_all_CI,FPR95_near,FPR95_far,FPR95_all
vanilla,MSP,94.4000,0.1803,95.0000,80.9629,90.2478,85.6053,95.1700,"[94.73, 95.57]",25.6250,"[22.7, 28.8]",42.2500,"[38.9, 45.7]",33.9375,"[31.7, 36.3]",74.3750,57.7500,66.0625
vanilla,MLS,94.4000,-5.7756,95.0000,79.1089,90.1422,84.6255,95.3200,"[94.89, 95.72]",30.0000,"[26.9, 33.3]",54.8750,"[51.4, 58.3]",42.4375,"[40.0, 44.9]",70.0000,45.1250,57.5625
vanilla,Energy,94.4000,-5.9674,95.0000,79.1332,90.2468,84.6900,95.4200,"[94.99, 95.81]",30.1250,"[27.0, 33.4]",55.6250,"[52.2, 59.0]",42.8750,"[40.5, 45.3]",69.8750,44.3750,57.1250
vanilla,Mahalanobis,94.4000,3058.2530,95.0000,79.5732,92.1818,85.8775,95.1100,"[94.67, 95.52]",26.5000,"[23.6, 29.7]",50.8750,"[47.4, 54.3]",38.6875,"[36.3, 41.1]",73.5000,49.1250,61.3125
gcsc,MSP,95.1400,0.1847,95.0000,83.2063,90.7530,86.9797,94.9300,"[94.48, 95.34]",30.2500,"[27.2, 33.5]",45.2500,"[41.8, 48.7]",37.7500,"[35.4, 40.2]",69.7500,54.7500,62.2500
gcsc,MLS,95.1400,-6.0101,95.0000,80.5409,90.8451,85.6930,95.3500,"[94.92, 95.75]",34.8750,"[31.7, 38.2]",55.3750,"[51.9, 58.8]",45.1250,"[42.7, 47.6]",65.1250,44.6250,54.8750
gcsc,Energy,95.1400,-6.2171,95.0000,80.4717,90.8912,85.6814,95.4300,"[95.00, 95.82]",34.2500,"[31.0, 37.6]",56.0000,"[52.5, 59.4]",45.1250,"[42.7, 47.6]",65.7500,44.0000,54.8750
gcsc,Mahalanobis,95.1400,1991.0120,95.0000,80.0161,91.7655,85.8908,94.8300,"[94.38, 95.25]",28.1250,"[25.1, 31.3]",50.5000,"[47.0, 54.0]",39.3125,"[36.9, 41.7]",71.8750,49.5000,60.6875
proser,MSP,94.2600,0.2525,95.0000,79.9087,89.2604,84.5845,95.1300,"[94.69, 95.53]",23.3750,"[20.6, 26.4]",40.1250,"[36.8, 43.6]",31.7500,"[29.5, 34.1]",76.6250,59.8750,68.2500
proser,MLS,94.2600,-3.5772,95.0000,79.3693,88.9027,84.1360,95.3400,"[94.91, 95.74]",25.2500,"[22.4, 28.4]",47.8750,"[44.4, 51.3]",36.5625,"[34.2, 39.0]",74.7500,52.1250,63.4375
proser,Energy,94.2600,-3.8795,95.0000,79.3793,88.9566,84.1680,95.2200,"[94.78, 95.62]",27.0000,"[24.0, 30.2]",49.6250,"[46.2, 53.1]",38.3125,"[36.0, 40.7]",73.0000,50.3750,61.6875
proser,Mahalanobis,94.2600,2929.2206,95.0000,78.7669,91.6517,85.2093,94.9000,"[94.45, 95.31]",24.5000,"[21.6, 27.6]",46.8750,"[43.4, 50.3]",35.6875,"[33.4, 38.1]",75.5000,53.1250,64.3125
proser,PROSER-detect,94.2600,0.0000,95.0000,78.6173,87.7363,83.1768,95.3300,"[94.90, 95.73]",24.6250,"[21.8, 27.7]",43.7500,"[40.4, 47.2]",34.1875,"[31.9, 36.5]",75.3750,56.2500,65.8125
