table,group,A,B,AUROC_A_minus_B,CI_low,CI_high,p_boot,p_holm,significant_0.05
table1,near,vanilla-MSP,vanilla-MLS,1.8541,1.3343,2.4125,0.0010,0.0060,True
table1,near,vanilla-MSP,vanilla-Energy,1.8297,1.3009,2.3972,0.0010,0.0060,True
table1,near,vanilla-MSP,vanilla-Mahalanobis,1.3898,0.4655,2.2739,0.0080,0.0320,True
table1,near,vanilla-MLS,vanilla-Energy,-0.0244,-0.0603,0.0134,0.1799,0.5397,False
table1,near,vanilla-MLS,vanilla-Mahalanobis,-0.4643,-1.6143,0.6384,0.4318,0.8636,False
table1,near,vanilla-Energy,vanilla-Mahalanobis,-0.4399,-1.5986,0.6649,0.4578,0.8636,False
table1,far,vanilla-MSP,vanilla-MLS,0.1056,-0.3708,0.5637,0.6467,1.0000,False
table1,far,vanilla-MSP,vanilla-Energy,0.0010,-0.4822,0.4721,0.9915,1.0000,False
table1,far,vanilla-MSP,vanilla-Mahalanobis,-1.9341,-2.4445,-1.4505,0.0010,0.0060,True
table1,far,vanilla-MLS,vanilla-Energy,-0.1046,-0.1428,-0.0648,0.0010,0.0060,True
table1,far,vanilla-MLS,vanilla-Mahalanobis,-2.0396,-2.8700,-1.1839,0.0010,0.0060,True
table1,far,vanilla-Energy,vanilla-Mahalanobis,-1.9350,-2.7777,-1.0703,0.0010,0.0060,True
table1,all,vanilla-MSP,vanilla-MLS,0.9798,0.6305,1.3606,0.0010,0.0060,True
table1,all,vanilla-MSP,vanilla-Energy,0.9153,0.5520,1.3018,0.0010,0.0060,True
table1,all,vanilla-MSP,vanilla-Mahalanobis,-0.2721,-0.7983,0.2406,0.2949,0.2949,False
table1,all,vanilla-MLS,vanilla-Energy,-0.0645,-0.0940,-0.0344,0.0010,0.0060,True
table1,all,vanilla-MLS,vanilla-Mahalanobis,-1.2520,-1.9722,-0.5489,0.0020,0.0060,True
table1,all,vanilla-Energy,vanilla-Mahalanobis,-1.1875,-1.9173,-0.4809,0.0020,0.0060,True
table2,near,gcsc-MLS,vanilla-MLS,1.4320,-0.1319,3.0082,0.0720,0.2879,False
table2,near,proser-MLS,vanilla-MLS,0.2604,-0.4228,0.9391,0.4688,0.6957,False
table2,near,proser-PROSER-detect,vanilla-MLS,-0.4916,-1.5478,0.5731,0.3478,0.6957,False
table2,near,proser-MLS,gcsc-MLS,-1.1716,-2.7739,0.3999,0.1409,0.4228,False
table2,near,proser-PROSER-detect,gcsc-MLS,-1.9236,-3.8255,-0.1645,0.0300,0.1499,False
table2,far,gcsc-MLS,vanilla-MLS,0.7029,-0.5265,1.9855,0.2719,0.2719,False
table2,far,proser-MLS,vanilla-MLS,-1.2395,-1.8045,-0.6716,0.0010,0.0050,True
table2,far,proser-PROSER-detect,vanilla-MLS,-2.4059,-3.1849,-1.6412,0.0010,0.0050,True
table2,far,proser-MLS,gcsc-MLS,-1.9424,-3.2611,-0.6666,0.0030,0.0060,True
table2,far,proser-PROSER-detect,gcsc-MLS,-3.1088,-4.5967,-1.6951,0.0010,0.0050,True
table2,all,gcsc-MLS,vanilla-MLS,1.0675,0.0243,2.1175,0.0450,0.0800,False
table2,all,proser-MLS,vanilla-MLS,-0.4895,-0.9415,-0.0186,0.0400,0.0800,False
table2,all,proser-PROSER-detect,vanilla-MLS,-1.4487,-2.1322,-0.7950,0.0010,0.0050,True
table2,all,proser-MLS,gcsc-MLS,-1.5570,-2.6556,-0.5164,0.0020,0.0060,True
table2,all,proser-PROSER-detect,gcsc-MLS,-2.5162,-3.7110,-1.3454,0.0010,0.0050,True
