group,class,accepted_of_100,absorbed_by
near,bus,85,"truck 69, automobile 13, airplane 1"
near,pickup_truck,90,"automobile 61, truck 29"
near,motorcycle,40,"automobile 21, truck 10, airplane 6"
near,tractor,60,"truck 43, ship 7, automobile 5"
near,wolf,81,"cat 43, dog 32, deer 4"
near,fox,77,"cat 31, deer 30, dog 11"
near,leopard,68,"cat 26, frog 25, deer 12"
near,camel,59,"deer 18, dog 15, horse 15"
far,bottle,41,"cat 14, ship 14, truck 7"
far,bowl,43,"cat 14, frog 7, automobile 7"
far,chair,44,"airplane 24, bird 6, truck 5"
far,clock,33,"automobile 9, cat 8, truck 7"
far,keyboard,35,"airplane 11, truck 8, cat 7"
far,mushroom,55,"bird 26, frog 10, cat 10"
far,sunflower,45,"bird 25, cat 5, dog 5"
far,wardrobe,65,"truck 44, cat 19, ship 1"
