group,fine_class,index,pred,second_choice,u,tau,margin_below_tau,max_logit,max_softmax,plausible_targets,map_label
near,bus,5201,truck,automobile,-11.8337,-5.77559,6.05808,11.8337,0.999831,automobile/truck,plausible
far,bowl,9561,frog,cat,-11.7372,-5.77559,5.96156,11.7372,0.999969,-,surprising
near,bus,7133,truck,automobile,-11.704,-5.77559,5.92838,11.704,0.99997,automobile/truck,plausible
near,pickup_truck,9081,automobile,truck,-11.6719,-5.77559,5.89634,11.6719,0.999956,automobile/truck,plausible
near,leopard,6055,cat,bird,-11.646,-5.77559,5.87036,11.646,0.999818,cat,plausible
near,tractor,8996,ship,truck,-11.2798,-5.77559,5.50425,11.2798,0.999953,automobile/truck,surprising
near,bus,4173,truck,automobile,-11.2504,-5.77559,5.47478,11.2504,0.999916,automobile/truck,plausible
near,bus,6339,truck,automobile,-11.2381,-5.77559,5.46248,11.2381,0.9999,automobile/truck,plausible
near,pickup_truck,7658,automobile,truck,-11.1178,-5.77559,5.34221,11.1178,0.99994,automobile/truck,plausible
near,bus,9232,truck,automobile,-11.0434,-5.77559,5.26783,11.0434,0.9999,automobile/truck,plausible
near,wolf,720,dog,cat,-11.0215,-5.77559,5.24591,11.0215,0.999862,dog,plausible
near,bus,2665,truck,airplane,-10.8936,-5.77559,5.11799,10.8936,0.999916,automobile/truck,plausible
far,sunflower,5260,bird,cat,-10.8652,-5.77559,5.08958,10.8652,0.999895,-,surprising
near,pickup_truck,4506,automobile,truck,-10.8586,-5.77559,5.08305,10.8586,0.999921,automobile/truck,plausible
far,bottle,3888,cat,bird,-10.8573,-5.77559,5.08166,10.8573,0.999819,-,surprising
near,bus,8655,truck,automobile,-10.8561,-5.77559,5.0805,10.8561,0.999915,automobile/truck,plausible
near,bus,3026,truck,automobile,-10.8251,-5.77559,5.04954,10.8251,0.999908,automobile/truck,plausible
far,mushroom,3502,frog,deer,-10.7966,-5.77559,5.02105,10.7966,0.999892,-,surprising
near,bus,8085,truck,cat,-10.758,-5.77559,4.98244,10.758,0.999907,automobile/truck,plausible
near,leopard,4677,cat,dog,-10.7574,-5.77559,4.98186,10.7574,0.999883,cat,plausible
near,pickup_truck,156,truck,automobile,-10.7375,-5.77559,4.96187,10.7375,0.998588,automobile/truck,plausible
far,bowl,6033,automobile,ship,-10.709,-5.77559,4.9334,10.709,0.999778,-,surprising
near,pickup_truck,7389,automobile,truck,-10.7073,-5.77559,4.93173,10.7073,0.999905,automobile/truck,plausible
near,bus,957,truck,ship,-10.6992,-5.77559,4.92364,10.6992,0.999821,automobile/truck,plausible
near,bus,3755,truck,automobile,-10.6578,-5.77559,4.88225,10.6578,0.999902,automobile/truck,plausible
far,chair,4259,airplane,cat,-10.6442,-5.77559,4.86856,10.6442,0.999784,-,surprising
near,bus,3276,truck,ship,-10.6084,-5.77559,4.8328,10.6084,0.999892,automobile/truck,plausible
near,leopard,9187,cat,dog,-10.5906,-5.77559,4.81502,10.5906,0.999842,cat,plausible
near,bus,2719,truck,airplane,-10.5904,-5.77559,4.81482,10.5904,0.999907,automobile/truck,plausible
near,bus,6116,truck,ship,-10.5757,-5.77559,4.80009,10.5757,0.999737,automobile/truck,plausible
far,bowl,1865,cat,bird,-10.5709,-5.77559,4.79529,10.5709,0.999646,-,surprising
near,pickup_truck,1568,automobile,truck,-10.5679,-5.77559,4.79234,10.5679,0.999783,automobile/truck,plausible
near,fox,4706,cat,deer,-10.5493,-5.77559,4.77371,10.5493,0.999879,dog/cat,plausible
near,wolf,7980,dog,cat,-10.5285,-5.77559,4.75292,10.5285,0.999877,dog,plausible
near,fox,6163,deer,horse,-10.4509,-5.77559,4.67528,10.4509,0.999894,dog/cat,surprising
near,bus,7441,truck,automobile,-10.4477,-5.77559,4.67214,10.4477,0.999814,automobile/truck,plausible
far,wardrobe,6390,truck,cat,-10.4315,-5.77559,4.65588,10.4315,0.999443,-,surprising
near,bus,4307,truck,automobile,-10.4019,-5.77559,4.62634,10.4019,0.99989,automobile/truck,plausible
far,bottle,7443,cat,bird,-10.386,-5.77559,4.61036,10.386,0.999749,-,surprising
near,bus,1662,truck,automobile,-10.3486,-5.77559,4.57298,10.3486,0.999874,automobile/truck,plausible
near,wolf,897,cat,deer,-10.2888,-5.77559,4.5132,10.2888,0.999833,dog,surprising
near,bus,9835,truck,ship,-10.2869,-5.77559,4.51134,10.2869,0.999873,automobile/truck,plausible
near,bus,193,truck,automobile,-10.2772,-5.77559,4.50156,10.2772,0.999833,automobile/truck,plausible
near,wolf,9231,cat,dog,-10.2506,-5.77559,4.47496,10.2506,0.999689,dog,surprising
near,pickup_truck,9927,automobile,truck,-10.242,-5.77559,4.46637,10.242,0.999834,automobile/truck,plausible
far,mushroom,2620,bird,cat,-10.2207,-5.77559,4.44507,10.2207,0.999325,-,surprising
