group,class,plausible_targets,accepted_of_100,plausible,surprising,absorbed_by
near,bus,automobile/truck,85,82,3,"truck 69, automobile 13, airplane 1"
near,pickup_truck,automobile/truck,90,90,0,"automobile 61, truck 29"
near,motorcycle,automobile/truck,40,31,9,"automobile 21, truck 10, airplane 6"
near,tractor,automobile/truck,60,48,12,"truck 43, ship 7, automobile 5"
near,wolf,dog,81,32,49,"cat 43, dog 32, deer 4"
near,fox,dog/cat,77,42,35,"cat 31, deer 30, dog 11"
near,leopard,cat,68,26,42,"cat 26, frog 25, deer 12"
near,camel,horse/deer,59,33,26,"deer 18, dog 15, horse 15"
far,bottle,-,41,0,41,"cat 14, ship 14, truck 7"
far,bowl,-,43,0,43,"cat 14, frog 7, automobile 7"
far,chair,-,44,0,44,"airplane 24, bird 6, truck 5"
far,clock,-,33,0,33,"automobile 9, cat 8, truck 7"
far,keyboard,-,35,0,35,"airplane 11, truck 8, cat 7"
far,mushroom,-,55,0,55,"bird 26, frog 10, cat 10"
far,sunflower,-,45,0,45,"bird 25, cat 5, dog 5"
far,wardrobe,-,65,0,65,"truck 44, cat 19, ship 1"
