group,fine_class,index,pred,second_choice,u,tau,in_views,your_call,your_reason
near,bus,5201,truck,automobile,-11.8337,-5.77559,main;confident_borderline,,
near,pickup_truck,9081,automobile,truck,-11.6719,-5.77559,main;confident_borderline,,
near,leopard,6055,cat,bird,-11.646,-5.77559,main;confident_borderline,,
near,tractor,8996,ship,truck,-11.2798,-5.77559,main;confident_borderline,,
near,wolf,720,dog,cat,-11.0215,-5.77559,main;confident_borderline,,
near,fox,4706,cat,deer,-10.5493,-5.77559,main;confident_borderline,,
far,bowl,9561,frog,cat,-11.7372,-5.77559,main;confident_borderline,,
far,sunflower,5260,bird,cat,-10.8652,-5.77559,main;confident_borderline,,
far,bottle,3888,cat,bird,-10.8573,-5.77559,main;confident_borderline,,
far,mushroom,3502,frog,deer,-10.7966,-5.77559,main;confident_borderline,,
far,chair,4259,airplane,cat,-10.6442,-5.77559,main;confident_borderline,,
far,wardrobe,6390,truck,cat,-10.4315,-5.77559,main;confident_borderline,,
near,bus,3236,truck,automobile,-6.00336,-5.77559,confident_borderline,,
near,pickup_truck,47,truck,automobile,-5.88763,-5.77559,confident_borderline,,
near,motorcycle,3376,automobile,truck,-9.81854,-5.77559,confident_borderline,,
near,motorcycle,6022,truck,airplane,-5.81302,-5.77559,confident_borderline,,
near,tractor,2101,ship,deer,-5.80578,-5.77559,confident_borderline,,
near,wolf,6324,dog,cat,-5.98342,-5.77559,confident_borderline,,
near,fox,8735,cat,dog,-5.82089,-5.77559,confident_borderline,,
near,leopard,8774,cat,frog,-5.85108,-5.77559,confident_borderline,,
near,camel,8143,cat,dog,-10.0463,-5.77559,confident_borderline,,
near,camel,8598,deer,horse,-5.7922,-5.77559,confident_borderline,,
far,bottle,6214,ship,truck,-5.83769,-5.77559,confident_borderline,,
far,bowl,3091,ship,truck,-5.83543,-5.77559,confident_borderline,,
far,chair,8498,bird,frog,-5.80657,-5.77559,confident_borderline,,
far,clock,1586,truck,automobile,-9.70741,-5.77559,confident_borderline,,
far,clock,618,ship,cat,-6.19241,-5.77559,confident_borderline,,
far,keyboard,8369,truck,automobile,-9.8045,-5.77559,confident_borderline,,
far,keyboard,771,horse,deer,-5.81016,-5.77559,confident_borderline,,
far,mushroom,6575,truck,airplane,-5.82083,-5.77559,confident_borderline,,
far,sunflower,8785,bird,dog,-5.77717,-5.77559,confident_borderline,,
far,wardrobe,4910,truck,cat,-5.83928,-5.77559,confident_borderline,,
near,pickup_truck,9880,truck,automobile,-9.38845,-5.77559,random,,
near,leopard,5698,frog,bird,-9.04798,-5.77559,random,,
near,tractor,6430,truck,ship,-8.57508,-5.77559,random,,
near,pickup_truck,1491,automobile,truck,-6.47907,-5.77559,random,,
near,wolf,3927,cat,dog,-6.0396,-5.77559,random,,
near,pickup_truck,3537,automobile,truck,-5.9184,-5.77559,random,,
far,chair,6245,airplane,horse,-8.54152,-5.77559,random,,
far,clock,7933,truck,automobile,-7.54211,-5.77559,random,,
far,bowl,6069,cat,automobile,-6.94249,-5.77559,random,,
far,sunflower,8866,airplane,bird,-6.7948,-5.77559,random,,
far,bottle,7415,ship,cat,-5.93117,-5.77559,random,,
far,mushroom,3493,bird,deer,-5.89534,-5.77559,random,,
