table,group,A,B,reject_A,reject_B,only_A_rejects,only_B_rejects,p_exact,p_holm,significant_0.05
table1,near,vanilla-MSP,vanilla-MLS,25.625,30,29,64,0.000365796,0.00219477,True
table1,near,vanilla-MSP,vanilla-Energy,25.625,30.125,34,70,0.000534284,0.00267142,True
table1,near,vanilla-MSP,vanilla-Mahalanobis,25.625,26.5,20,27,0.381693,0.763387,False
table1,near,vanilla-MLS,vanilla-Energy,30,30.125,5,6,1,1,False
table1,near,vanilla-MLS,vanilla-Mahalanobis,30,26.5,70,42,0.0104092,0.0398653,True
table1,near,vanilla-Energy,vanilla-Mahalanobis,30.125,26.5,74,45,0.00996632,0.0398653,True
table1,far,vanilla-MSP,vanilla-MLS,42.25,54.875,18,119,1.89323e-19,1.13594e-18,True
table1,far,vanilla-MSP,vanilla-Energy,42.25,55.625,25,132,9.09456e-19,4.54728e-18,True
table1,far,vanilla-MSP,vanilla-Mahalanobis,42.25,50.875,19,88,8.48134e-12,3.39253e-11,True
table1,far,vanilla-MLS,vanilla-Energy,54.875,55.625,7,13,0.263176,0.263176,False
table1,far,vanilla-MLS,vanilla-Mahalanobis,54.875,50.875,91,59,0.0111216,0.0222432,True
table1,far,vanilla-Energy,vanilla-Mahalanobis,55.625,50.875,101,63,0.00372925,0.0111877,True
table2,near,gcsc-MLS,vanilla-MLS,34.875,30,119,80,0.00691528,0.00691528,True
table2,near,proser-MLS,vanilla-MLS,25.25,30,37,75,0.000420968,0.000841936,True
table2,near,proser-PROSER-detect,vanilla-MLS,24.625,30,43,86,0.000191942,0.000575827,True
table2,near,proser-MLS,gcsc-MLS,25.25,34.875,71,148,2.13147e-07,8.52586e-07,True
table2,near,proser-PROSER-detect,gcsc-MLS,24.625,34.875,75,157,7.76659e-08,3.8833e-07,True
table2,far,gcsc-MLS,vanilla-MLS,55.375,54.875,143,139,0.858255,0.858255,False
table2,far,proser-MLS,vanilla-MLS,47.875,54.875,33,89,4.04035e-07,1.2121e-06,True
table2,far,proser-PROSER-detect,vanilla-MLS,43.75,54.875,36,125,1.03264e-12,5.16319e-12,True
table2,far,proser-MLS,gcsc-MLS,47.875,55.375,119,179,0.000607747,0.00121549,True
table2,far,proser-PROSER-detect,gcsc-MLS,43.75,55.375,112,205,1.95827e-07,7.83309e-07,True
