set,A,B,spearman
known_test,MSP,MLS,0.9525
known_test,MSP,Energy,0.9518
known_test,MSP,Mahalanobis,0.5884
known_test,MLS,Energy,0.9999
known_test,MLS,Mahalanobis,0.4488
known_test,Energy,Mahalanobis,0.4477
near,MSP,MLS,0.9486
near,MSP,Energy,0.9316
near,MSP,Mahalanobis,0.9544
near,MLS,Energy,0.9979
near,MLS,Mahalanobis,0.8992
near,Energy,Mahalanobis,0.8848
far,MSP,MLS,0.9189
far,MSP,Energy,0.8802
far,MSP,Mahalanobis,0.8947
far,MLS,Energy,0.9945
far,MLS,Mahalanobis,0.7904
far,Energy,Mahalanobis,0.7541
