table,group,A,B,AUROC_A_minus_B,CI_low,CI_high,p_boot,p_holm,significant_0.05
posthoc,near,proser_bncal-MLS,vanilla-MLS,-1.1571,-2.2498,0.0079,0.0530,0.1589,False
posthoc,near,proser_bncal-PROSER-detect,vanilla-MLS,-0.6245,-1.7182,0.5049,0.3018,0.6037,False
posthoc,near,proser_bncal-MLS,proser-MLS,-1.4175,-2.6865,-0.1156,0.0270,0.1079,False
posthoc,near,proser_bncal-PROSER-detect,proser-PROSER-detect,-0.1329,-1.6558,1.4562,0.9035,0.9035,False
posthoc,far,proser_bncal-MLS,vanilla-MLS,1.4546,0.6825,2.2105,0.0010,0.0040,True
posthoc,far,proser_bncal-PROSER-detect,vanilla-MLS,1.1063,0.3636,1.8918,0.0040,0.0040,True
posthoc,far,proser_bncal-MLS,proser-MLS,2.6941,1.8405,3.5800,0.0010,0.0040,True
posthoc,far,proser_bncal-PROSER-detect,proser-PROSER-detect,3.5122,2.5196,4.5565,0.0010,0.0040,True
posthoc,all,proser_bncal-MLS,vanilla-MLS,0.1488,-0.5196,0.8532,0.6537,0.9835,False
posthoc,all,proser_bncal-PROSER-detect,vanilla-MLS,0.2409,-0.4210,0.9487,0.4918,0.9835,False
posthoc,all,proser_bncal-MLS,proser-MLS,0.6383,-0.1424,1.4627,0.1019,0.3058,False
posthoc,all,proser_bncal-PROSER-detect,proser-PROSER-detect,1.6896,0.7997,2.7029,0.0010,0.0040,True
