checkpoint,bn_layer,stage,mean_shift_in_sd,abs_log_var_ratio
vanilla/best.pt,net.bn1,stem,0.00304,0.01191
vanilla/best.pt,net.layer1.0.bn1,layer1,0.00087,0.00673
vanilla/best.pt,net.layer1.0.bn2,layer1,0.00059,0.00520
vanilla/best.pt,net.layer1.1.bn1,layer1,0.00109,0.00415
vanilla/best.pt,net.layer1.1.bn2,layer1,0.00091,0.00549
vanilla/best.pt,net.layer2.0.bn1,layer2,0.00174,0.00508
vanilla/best.pt,net.layer2.0.bn2,layer2,0.00078,0.00371
vanilla/best.pt,net.layer2.0.downsample.1,layer2,0.00188,0.00467
vanilla/best.pt,net.layer2.1.bn1,layer2,0.00069,0.00300
vanilla/best.pt,net.layer2.1.bn2,layer2,0.00082,0.00303
vanilla/best.pt,net.layer3.0.bn1,layer3,0.00110,0.00458
vanilla/best.pt,net.layer3.0.bn2,layer3,0.00130,0.00541
vanilla/best.pt,net.layer3.0.downsample.1,layer3,0.00109,0.00388
vanilla/best.pt,net.layer3.1.bn1,layer3,0.00155,0.00542
vanilla/best.pt,net.layer3.1.bn2,layer3,0.00312,0.00853
vanilla/best.pt,net.layer4.0.bn1,layer4,0.00242,0.01098
vanilla/best.pt,net.layer4.0.bn2,layer4,0.00264,0.01376
vanilla/best.pt,net.layer4.0.downsample.1,layer4,0.00222,0.01091
vanilla/best.pt,net.layer4.1.bn1,layer4,0.00269,0.01208
vanilla/best.pt,net.layer4.1.bn2,layer4,0.00389,0.02293
proser/best.pt,net.bn1,stem,0.01699,0.03366
proser/best.pt,net.layer1.0.bn1,layer1,0.00186,0.00851
proser/best.pt,net.layer1.0.bn2,layer1,0.00099,0.00743
proser/best.pt,net.layer1.1.bn1,layer1,0.00183,0.00683
proser/best.pt,net.layer1.1.bn2,layer1,0.00140,0.00632
proser/best.pt,net.layer2.0.bn1,layer2,0.00269,0.00676
proser/best.pt,net.layer2.0.bn2,layer2,0.00143,0.00545
proser/best.pt,net.layer2.0.downsample.1,layer2,0.00300,0.00749
proser/best.pt,net.layer2.1.bn1,layer2,0.00145,0.00594
proser/best.pt,net.layer2.1.bn2,layer2,0.00138,0.00695
proser/best.pt,net.layer3.0.bn1,layer3,0.00280,0.26022
proser/best.pt,net.layer3.0.bn2,layer3,0.00708,0.05551
proser/best.pt,net.layer3.0.downsample.1,layer3,0.00313,0.26256
proser/best.pt,net.layer3.1.bn1,layer3,0.00365,0.02504
proser/best.pt,net.layer3.1.bn2,layer3,0.00371,0.02831
proser/best.pt,net.layer4.0.bn1,layer4,0.00447,0.05128
proser/best.pt,net.layer4.0.bn2,layer4,0.00564,0.07105
proser/best.pt,net.layer4.0.downsample.1,layer4,0.00758,0.03089
proser/best.pt,net.layer4.1.bn1,layer4,0.00411,0.08108
proser/best.pt,net.layer4.1.bn2,layer4,0.00707,0.03768
proser/last.pt,net.bn1,stem,0.00342,0.01384
proser/last.pt,net.layer1.0.bn1,layer1,0.00234,0.01458
proser/last.pt,net.layer1.0.bn2,layer1,0.00146,0.00970
proser/last.pt,net.layer1.1.bn1,layer1,0.00173,0.00613
proser/last.pt,net.layer1.1.bn2,layer1,0.00140,0.00648
proser/last.pt,net.layer2.0.bn1,layer2,0.00159,0.00650
proser/last.pt,net.layer2.0.bn2,layer2,0.00105,0.00670
proser/last.pt,net.layer2.0.downsample.1,layer2,0.00207,0.00609
proser/last.pt,net.layer2.1.bn1,layer2,0.00131,0.00574
proser/last.pt,net.layer2.1.bn2,layer2,0.00128,0.00443
proser/last.pt,net.layer3.0.bn1,layer3,0.00332,0.21231
proser/last.pt,net.layer3.0.bn2,layer3,0.01266,0.06427
proser/last.pt,net.layer3.0.downsample.1,layer3,0.00284,0.22253
proser/last.pt,net.layer3.1.bn1,layer3,0.01609,0.07158
proser/last.pt,net.layer3.1.bn2,layer3,0.02132,0.05366
proser/last.pt,net.layer4.0.bn1,layer4,0.03690,0.14023
proser/last.pt,net.layer4.0.bn2,layer4,0.05984,0.23358
proser/last.pt,net.layer4.0.downsample.1,layer4,0.07391,0.13030
proser/last.pt,net.layer4.1.bn1,layer4,0.06092,0.23579
proser/last.pt,net.layer4.1.bn2,layer4,0.07871,0.42258
