index,group,fine_class,pred,u_msp,u_mls,u_energy,u_mahalanobis
94,near,bus,truck,0.00015215493,-10.164473,-10.164625,151.48474
193,near,bus,truck,7.6817037e-05,-10.865162,-10.865239,383.53448
619,near,bus,automobile,0.0028277001,-8.6758671,-8.6786988,627.44788
766,near,bus,truck,0.0003002394,-9.7054224,-9.7057227,345.90352
822,near,bus,truck,0.00023168494,-10.990672,-10.990904,384.76777
957,near,bus,truck,0.00045115124,-10.095027,-10.095478,364.27262
1034,near,bus,truck,0.006920623,-7.5145292,-7.5214739,912.96633
1143,near,bus,truck,0.0057907347,-7.5532746,-7.5590822,894.94619
1271,near,bus,truck,0.00076908918,-9.2336302,-9.2343996,252.54739
1427,near,bus,automobile,0.00088885138,-9.151495,-9.1523842,264.43088
1445,near,bus,truck,0.0010879093,-10.145763,-10.146852,497.07675
1478,near,bus,truck,0.087645431,-7.277627,-7.3693536,1676.4355
1489,near,bus,truck,7.490912e-05,-11.347604,-11.347679,324.97788
1616,near,bus,horse,0.082536327,-5.7223053,-5.8084476,1810.3065
1662,near,bus,truck,0.00039595083,-9.544343,-9.544739,133.29504
1889,near,bus,ship,0.61539121,-3.3017273,-4.2572559,2754.474
1985,near,bus,automobile,0.00054326725,-9.397191,-9.3977345,140.14246
2019,near,bus,automobile,0.016764263,-7.6544428,-7.6713492,885.62831
2203,near,bus,automobile,9.7482662e-05,-10.955002,-10.955099,195.73063
2484,near,bus,truck,0.0028439846,-10.263095,-10.265943,1360.5727
2591,near,bus,truck,0.011172236,-9.2285252,-9.2397603,932.88306
2665,near,bus,truck,0.00033989244,-9.7248678,-9.7252078,325.67407
2698,near,bus,automobile,0.19747076,-7.9549832,-8.1749702,1986.0164
2719,near,bus,truck,0.00046053292,-9.666441,-9.6669016,446.14155
2832,near,bus,truck,9.6171178e-05,-11.368045,-11.368141,439.29932
2843,near,bus,truck,0.00053675514,-9.5635624,-9.5640993,597.4872
3026,near,bus,truck,0.00012073272,-10.388685,-10.388806,76.679693
3106,near,bus,truck,0.017120857,-7.3652425,-7.3825116,1456.1734
3197,near,bus,truck,0.0004137417,-9.7280989,-9.7285127,324.42517
3236,near,bus,truck,0.01550735,-9.6697397,-9.6853686,1218.4263
3276,near,bus,truck,0.00089943253,-8.8833332,-8.884233,369.37114
3478,near,bus,truck,0.055319018,-8.8849678,-8.9418758,1471.9259
3564,near,bus,automobile,0.14545167,-7.318212,-7.4753943,2650.0616
3701,near,bus,truck,0.15631254,-6.3513436,-6.5213168,1798.4494
3755,near,bus,truck,0.21609912,-7.0641756,-7.3076483,1655.7117
3868,near,bus,automobile,0.040335198,-7.4855227,-7.526694,1152.5762
3887,near,bus,truck,0.0018934079,-8.0009451,-8.0028403,329.50513
3947,near,bus,truck,0.053432952,-6.3985605,-6.453474,1861.5564
