index,group,fine_class,pred,u_msp,u_mls,u_energy,u_mahalanobis,u_proser
94,near,bus,truck,0.00057612851,-7.7573247,-7.757901,149.00906,-0.00024925016
193,near,bus,truck,0.0014575997,-7.2781897,-7.2796483,390.98892,-0.00021889565
619,near,bus,automobile,0.0092949874,-6.0141644,-6.0235029,666.84354,-0.00012361986
766,near,bus,truck,0.00083068994,-7.6183281,-7.6191591,331.67692,-0.00023537936
822,near,bus,truck,0.0041761863,-6.859633,-6.8638179,695.8675,-0.00021351674
957,near,bus,truck,0.0012844743,-7.7049885,-7.7062738,766.15751,-0.00023160525
1034,near,bus,truck,0.018091895,-5.0284476,-5.0467052,1283.1107,-0.00012810404
1143,near,bus,truck,0.015007393,-5.3235688,-5.33869,1559.0592,-9.87744e-05
1271,near,bus,truck,0.0027847809,-6.6430044,-6.6457931,276.45712,-0.00019353814
1427,near,bus,automobile,0.020836532,-5.1130533,-5.13411,742.06766,-5.0540116e-05
1445,near,bus,truck,0.00057516812,-7.997323,-7.9978984,292.79675,-0.0002695355
1478,near,bus,truck,0.0013602649,-7.4328918,-7.434253,516.771,-0.00023406346
1489,near,bus,truck,0.0065703843,-6.0021572,-6.0087493,1116.3834,-0.00017753234
1616,near,bus,horse,0.13965908,-4.2631688,-4.4135954,3024.1516,-7.2247712e-05
1662,near,bus,truck,0.00074782041,-7.6665077,-7.6672558,116.91118,-0.00025560481
1889,near,bus,truck,0.37860845,-2.3706875,-2.8464814,3867.0564,6.0901247e-05
1985,near,bus,automobile,0.0032709312,-6.5528769,-6.5561532,433.86819,-0.00018046103
2019,near,bus,automobile,0.49473181,-3.5545893,-4.2372552,2672.8699,0.00011682238
2203,near,bus,automobile,0.0072313509,-6.4168139,-6.4240715,618.91651,-0.0001408634
2484,near,bus,truck,0.0038604622,-6.7589459,-6.7628139,731.00135,-0.0001896738
2591,near,bus,truck,0.0020369118,-7.1031475,-7.1051865,351.79816,-0.00020199735
2665,near,bus,truck,0.00030038545,-8.4419193,-8.4422198,419.88481,-0.00034807949
2698,near,bus,automobile,0.034353063,-5.4139543,-5.4489113,1228.3863,-4.3688675e-05
2719,near,bus,truck,0.00052855778,-7.8685904,-7.8691191,164.65307,-0.00029447264
2832,near,bus,truck,0.0012886601,-7.4587421,-7.4600316,631.04602,-0.00025005006
2843,near,bus,truck,0.0029574946,-6.6416616,-6.6446235,569.2895,-0.00016764939
3026,near,bus,truck,0.00069887522,-7.6965728,-7.6972719,185.90785,-0.0002621525
3106,near,bus,truck,0.003029657,-6.6304331,-6.6334673,664.63784,-0.00017876374
3197,near,bus,truck,0.00080057151,-7.5664153,-7.5672162,161.5746,-0.00027485496
3236,near,bus,automobile,0.3888496,-3.6368239,-4.1292361,2309.0141,9.0068977e-05
