index,group,fine_class,pred,u_msp,u_mls,u_energy,u_mahalanobis
94,near,bus,truck,0.00016992667,-9.9352684,-9.9354383,113.4061
193,near,bus,truck,0.00016672773,-10.277154,-10.277321,411.48249
619,near,bus,automobile,0.00051243973,-9.9447355,-9.9452481,511.41504
766,near,bus,truck,0.00050739008,-9.2698736,-9.2703811,340.41421
822,near,bus,truck,0.019883013,-8.5253429,-8.5454263,1897.4056
957,near,bus,truck,0.00017933339,-10.699234,-10.699413,981.73034
1034,near,bus,truck,0.020180863,-6.3502245,-6.3706118,1649.7539
1143,near,bus,truck,0.0014912215,-8.4400282,-8.4415205,1106.6702
1271,near,bus,truck,0.00089488007,-9.0572662,-9.0581615,389.49273
1427,near,bus,automobile,0.028491632,-6.8410034,-6.8699088,1570.8746
1445,near,bus,truck,0.0002961669,-9.8783436,-9.8786398,527.17466
1478,near,bus,truck,0.00058248269,-9.2956076,-9.2961902,511.76837
1489,near,bus,truck,0.00067733354,-9.1648636,-9.1655411,649.29815
1616,near,bus,horse,0.034288968,-6.4508133,-6.4857039,2407.0106
1662,near,bus,truck,0.00012610566,-10.34857,-10.348696,77.539954
1889,near,bus,cat,0.41192085,-3.5350049,-4.0658986,3852.2386
1985,near,bus,automobile,0.00034153764,-9.7392502,-9.7395918,285.10571
2019,near,bus,truck,0.088145861,-6.7192912,-6.8115664,2330.9042
2203,near,bus,automobile,0.001522703,-9.1204433,-9.1219672,636.60158
2484,near,bus,truck,0.0018733664,-8.9982166,-9.0000918,865.88842
2591,near,bus,truck,0.00050677554,-9.760623,-9.7611299,392.1296
2665,near,bus,truck,8.3688761e-05,-10.893579,-10.893663,399.63521
2698,near,bus,automobile,0.0060437408,-8.3227921,-8.3288541,1043.5994
2719,near,bus,truck,9.3193638e-05,-10.590409,-10.590502,231.54376
2832,near,bus,truck,0.00023016683,-9.9773092,-9.9775394,542.18002
2843,near,bus,truck,0.00030229623,-9.650425,-9.6507273,615.72988
3026,near,bus,truck,9.1964184e-05,-10.825131,-10.825223,265.83902
3106,near,bus,truck,0.0008224359,-9.1412802,-9.1421029,720.61593
3197,near,bus,truck,0.00027860015,-9.5912981,-9.5915767,164.0309
3236,near,bus,truck,0.34180565,-6.0033612,-6.4216162,3532.7897
3276,near,bus,truck,0.00010832232,-10.608386,-10.608494,388.54407
3478,near,bus,truck,0.19472175,-6.5496564,-6.7662238,3073.1895
3564,near,bus,truck,0.43234082,-5.4036851,-5.9699192,4402.1611
3701,near,bus,truck,0.10220251,-6.6624131,-6.7702239,2304.6064
